Fecha,Dia,Llamadas
01/01/20,1,584
02/01/20,2,236
03/01/20,3,288
04/01/20,4,324
05/01/20,5,365
06/01/20,6,224
07/01/20,7,250
08/01/20,8,257
09/01/20,9,296
10/01/20,10,315
11/01/20,11,467
12/01/20,12,441
13/01/20,13,324
14/01/20,14,338
15/01/20,15,329
16/01/20,16,348
17/01/20,17,374
18/01/20,18,461
19/01/20,19,386
20/01/20,20,279
21/01/20,21,272
22/01/20,22,344
23/01/20,23,306
24/01/20,24,349
25/01/20,25,504
26/01/20,26,533
27/01/20,27,345
28/01/20,28,290
29/01/20,29,355
30/01/20,30,337
31/01/20,31,461
01/02/20,32,549
02/02/20,33,499
03/02/20,34,366
04/02/20,35,297
05/02/20,36,327
06/02/20,37,387
07/02/20,38,420
08/02/20,39,526
09/02/20,40,552
10/02/20,41,446
11/02/20,42,397
12/02/20,43,365
13/02/20,44,432
14/02/20,45,436
15/02/20,46,618
16/02/20,47,575
17/02/20,48,435
18/02/20,49,386
19/02/20,50,327
20/02/20,51,324
21/02/20,52,448
22/02/20,53,420
23/02/20,54,526
24/02/20,55,328
25/02/20,56,310
26/02/20,57,367
27/02/20,58,342
28/02/20,59,381
29/02/20,60,434
01/03/20,61,493
02/03/20,62,363
03/03/20,63,308
04/03/20,64,336
05/03/20,65,343
06/03/20,66,369
07/03/20,67,409
08/03/20,68,472
09/03/20,69,324
10/03/20,70,301
11/03/20,71,331
12/03/20,72,348
13/03/20,73,439
14/03/20,74,543
15/03/20,75,475
16/03/20,76,333
17/03/20,77,317
18/03/20,78,341
19/03/20,79,319
20/03/20,80,392
21/03/20,81,444
22/03/20,82,465
23/03/20,83,308
24/03/20,84,310
25/03/20,85,257
26/03/20,86,336
27/03/20,87,381
28/03/20,88,430
29/03/20,89,443
30/03/20,90,357
31/03/20,91,295
01/04/20,92,239
02/04/20,93,284
03/04/20,94,290
04/04/20,95,401
05/04/20,96,422
06/04/20,97,290
07/04/20,98,256
08/04/20,99,247
09/04/20,100,256
10/04/20,101,227
11/04/20,102,251
12/04/20,103,287
13/04/20,104,246
14/04/20,105,231
15/04/20,106,248
16/04/20,107,234
17/04/20,108,256
18/04/20,109,301
19/04/20,110,318
20/04/20,111,285
21/04/20,112,226
22/04/20,113,217
23/04/20,114,242
24/04/20,115,244
25/04/20,116,191
26/04/20,117,213
27/04/20,118,233
28/04/20,119,176
29/04/20,120,125
30/04/20,121,173
01/05/20,122,181
02/05/20,123,192
03/05/20,124,208
04/05/20,125,200
05/05/20,126,173
06/05/20,127,165
07/05/20,128,147
08/05/20,129,178
09/05/20,130,173
10/05/20,131,198
11/05/20,132,215
12/05/20,133,187
13/05/20,134,212
14/05/20,135,168
15/05/20,136,206
16/05/20,137,184
17/05/20,138,229
18/05/20,139,229
19/05/20,140,194
20/05/20,141,192
21/05/20,142,234
22/05/20,143,241
23/05/20,144,285
24/05/20,145,286
25/05/20,146,229
26/05/20,147,223
27/05/20,148,188
28/05/20,149,215
29/05/20,150,238
30/05/20,151,299
31/05/20,152,316
01/06/20,153,272
02/06/20,154,231
03/06/20,155,256
04/06/20,156,286
05/06/20,157,341
06/06/20,158,336
07/06/20,159,365
08/06/20,160,290
09/06/20,161,194
10/06/20,162,306
11/06/20,163,273
12/06/20,164,294
13/06/20,165,349
14/06/20,166,371
15/06/20,167,281
16/06/20,168,243
17/06/20,169,311
18/06/20,170,320
19/06/20,171,318
20/06/20,172,396
21/06/20,173,404
22/06/20,174,276
23/06/20,175,235
24/06/20,176,201
25/06/20,177,266
26/06/20,178,307
27/06/20,179,367
28/06/20,180,357
29/06/20,181,286
30/06/20,182,266
01/07/20,183,335
02/07/20,184,310
03/07/20,185,309
04/07/20,186,361
05/07/20,187,438
06/07/20,188,271
07/07/20,189,257
08/07/20,190,264
09/07/20,191,231
10/07/20,192,303
11/07/20,193,347
12/07/20,194,409
13/07/20,195,258
14/07/20,196,263
15/07/20,197,240
16/07/20,198,312
17/07/20,199,327
18/07/20,200,375
19/07/20,201,404
20/07/20,202,304
21/07/20,203,289
22/07/20,204,288
23/07/20,205,327
24/07/20,206,341
25/07/20,207,416
26/07/20,208,379
27/07/20,209,341
28/07/20,210,326
29/07/20,211,261
30/07/20,212,348
31/07/20,213,325
01/08/20,214,348
02/08/20,215,407
03/08/20,216,304
04/08/20,217,260
05/08/20,218,299
06/08/20,219,335
07/08/20,220,349
08/08/20,221,372
09/08/20,222,306
10/08/20,223,284
11/08/20,224,276
12/08/20,225,262
13/08/20,226,311
14/08/20,227,338
15/08/20,228,349
16/08/20,229,434
17/08/20,230,263
18/08/20,231,213
19/08/20,232,320
20/08/20,233,281
21/08/20,234,385
22/08/20,235,426
23/08/20,236,393
24/08/20,237,275
25/08/20,238,249
26/08/20,239,269
27/08/20,240,290
28/08/20,241,352
29/08/20,242,416
30/08/20,243,429
31/08/20,244,319
01/09/20,245,316
02/09/20,246,334
03/09/20,247,313
04/09/20,248,340
05/09/20,249,370
06/09/20,250,457
07/09/20,251,288
08/09/20,252,265
09/09/20,253,319
10/09/20,254,306
11/09/20,255,316
12/09/20,256,444
13/09/20,257,354
14/09/20,258,278
15/09/20,259,313
16/09/20,260,412
17/09/20,261,262
18/09/20,262,216
19/09/20,263,274
20/09/20,264,424
21/09/20,265,216
22/09/20,266,272
23/09/20,267,250
24/09/20,268,259
25/09/20,269,276
26/09/20,270,349
27/09/20,271,406
28/09/20,272,308
29/09/20,273,195
30/09/20,274,266
01/10/20,275,247
02/10/20,276,276
03/10/20,277,347
04/10/20,278,334
05/10/20,279,251
06/10/20,280,262
07/10/20,281,235
08/10/20,282,266
09/10/20,283,310
10/10/20,284,376
11/10/20,285,443
12/10/20,286,300
13/10/20,287,261
14/10/20,288,281
15/10/20,289,356
16/10/20,290,308
17/10/20,291,413
18/10/20,292,439
19/10/20,293,273
20/10/20,294,295
21/10/20,295,262
22/10/20,296,322
23/10/20,297,334
24/10/20,298,350
25/10/20,299,389
26/10/20,300,282
27/10/20,301,219
28/10/20,302,302
29/10/20,303,244
30/10/20,304,333
31/10/20,305,374
01/11/20,306,440
02/11/20,307,302
03/11/20,308,244
04/11/20,309,226
05/11/20,310,234
06/11/20,311,274
07/11/20,312,358
08/11/20,313,419
09/11/20,314,277
10/11/20,315,309
11/11/20,316,317
12/11/20,317,298
13/11/20,318,371
14/11/20,319,458
15/11/20,320,407
16/11/20,321,298
17/11/20,322,235
18/11/20,323,242
19/11/20,324,280
20/11/20,325,280
21/11/20,326,329
22/11/20,327,354
23/11/20,328,272
24/11/20,329,261
25/11/20,330,257
26/11/20,331,263
27/11/20,332,318
28/11/20,333,341
29/11/20,334,333
30/11/20,335,271
01/12/20,336,252
02/12/20,337,275
03/12/20,338,299
04/12/20,339,312
05/12/20,340,331
06/12/20,341,330
07/12/20,342,278
08/12/20,343,241
09/12/20,344,228
10/12/20,345,295
11/12/20,346,235
12/12/20,347,253
13/12/20,348,325
14/12/20,349,261
15/12/20,350,244
16/12/20,351,208
17/12/20,352,197
18/12/20,353,223
19/12/20,354,333
20/12/20,355,436
21/12/20,356,355
22/12/20,357,344
23/12/20,358,334
24/12/20,359,403
25/12/20,360,510
26/12/20,361,298
27/12/20,362,290
28/12/20,363,277
29/12/20,364,224
30/12/20,365,291
