Dia,Llamadas
1,588
4,315
5,366
6,227
7,252
9,289
10,309
11,474
12,442
14,343
16,342
17,365
18,452
20,269
21,282
22,353
23,305
25,512
26,540
27,342
28,296
30,338
31,466
34,376
36,318
37,394
38,420
39,521
40,562
41,453
42,391
43,371
44,442
46,624
47,582
49,376
50,325
51,325
53,417
54,518
55,329
56,312
57,362
58,350
59,381
63,318
65,348
66,359
67,413
68,467
69,328
70,294
72,350
73,441
75,478
76,325
77,313
79,316
80,390
81,448
82,464
85,264
86,341
88,432
90,354
91,294
92,241
93,274
94,289
97,285
98,262
99,255
102,243
103,280
105,227
106,249
107,240
109,305
110,327
113,209
114,243
115,239
117,213
119,171
120,120
123,197
124,209
125,206
126,175
127,169
129,173
130,174
131,196
133,186
134,213
135,171
137,190
138,238
139,239
142,236
144,281
145,295
146,233
147,233
148,198
153,276
154,237
155,259
156,290
158,337
160,287
161,194
162,296
163,267
165,359
167,273
169,313
170,329
171,328
172,386
173,400
174,272
175,238
176,208
177,262
178,298
179,358
180,359
181,284
182,261
183,331
184,319
185,305
186,371
189,258
190,267
191,238
192,297
194,408
195,251
198,315
199,334
201,394
202,297
203,298
205,317
206,351
209,349
210,330
211,254
213,319
214,345
215,414
216,299
217,253
219,343
220,341
221,367
222,315
224,275
225,268
227,337
230,267
231,217
233,285
234,392
236,383
238,239
239,262
243,438
245,307
246,342
249,380
251,298
252,266
253,324
254,302
255,313
258,268
259,307
260,412
263,275
265,223
266,267
267,260
268,256
269,284
270,357
274,262
275,246
276,271
277,348
278,344
279,244
280,261
282,267
285,445
286,296
287,256
288,283
290,315
291,404
293,280
295,253
296,321
297,336
298,356
299,392
300,273
301,209
302,302
304,330
307,306
308,236
309,222
310,237
311,280
312,350
314,277
316,314
317,308
318,376
319,453
322,240
323,239
325,274
326,324
327,358
328,280
330,257
332,314
333,346
335,274
336,248
337,266
338,306
339,310
340,331
341,329
342,279
343,232
344,227
345,305
346,232
348,328
349,256
350,237
351,203
352,197
353,219
354,338
355,426
356,349
357,342
358,325
359,400
363,269

